pais,poblacion,area,continente
China,1413142846,9596960,Asia
India,1399179585,3287263,Asia
Estados Unidos,339665118,9833517,America
Indonesia,279476346,1904569,Asia
Pakistan,247653551,796095,Asia
Nigeria,230842743,923768,Africa
Brasil,218689757,8515770,America
Bangladesh,167184465,148460,Asia
Rusia,141698923,17098242,Europa
Mexico,129875529,1964375,America
Japon,123719238,377915,Asia
Etiopia,116462712,1104300,Africa
Filipinas,116434200,300000,Asia
Republica Democratica del Congo,111859928,2344858,Africa
Egipto,109546720,1001450,Africa
Vietnam,104799174,331210,Asia
Iran,87590873,1648195,Asia
Alemania,84220184,357022,Europa
Turquia,83593483,783562,Asia
Tailandia,69794997,513120,Asia
Francia,68521974,643801,Europa
Reino Unido,68138484,243610,Europa
Tanzania,65642682,947300,Africa
Italia,61021855,301340,Europa
Sudafrica,58048332,1219090,Africa
Birmania,57970293,676578,Asia
Kenya,57052004,580367,Africa
Corea del sur,51966948,99720,Asia
Colombia,49336454,1138910,America
Sudan,49197555,1861484,Africa
Uganda,47729952,241038,Africa
España,47222613,505370,Europa
Argentina,46621847,2780400,America
